iter	Passed	Remaining
406	6059	8828
407	6072	8811
408	6085	8793
409	6099	8776
410	6112	8759
411	6126	8742
412	6140	8727
413	6154	8711
414	6170	8698
415	6185	8683
416	6200	8668
417	6212	8649
418	6227	8635
419	6241	8619
420	6256	8604
421	6270	8588
422	6282	8569
423	6297	8554
424	6313	8541
425	6326	8525
426	6340	8508
427	6354	8492
428	6370	8479
429	6386	8466
430	6403	8453
431	6419	8439
432	6430	8421
433	6443	8403
434	6459	8389
435	6474	8375
436	6489	8361
437	6503	8344
438	6521	8333
439	6535	8318
440	6548	8300
441	6566	8290
442	6581	8274
443	6595	8259
444	6609	8243
445	6624	8228
446	6637	8211
447	6650	8194
448	6661	8174
449	6679	8163
450	6691	8145
451	6703	8126
452	6717	8111
453	6729	8093
454	6742	8076
455	6755	8059
456	6767	8041
457	6780	8024
458	6792	8006
459	6806	7990
460	6818	7972
461	6832	7956
462	6846	7940
463	6860	7924
464	6875	7910
465	6886	7891
466	6900	7875
467	6914	7859
468	6926	7842
469	6939	7824
470	6952	7808
471	6965	7791
472	6979	7776
473	6993	7761
474	7008	7746
475	7023	7731
476	7039	7718
477	7055	7704
478	7083	7704
479	7102	7694
480	7129	7692
481	7145	7679
482	7160	7664
483	7173	7647
484	7188	7633
485	7210	7625
486	7226	7611
487	7240	7596
488	7254	7580
489	7267	7564
490	7283	7550
491	7298	7535
492	7309	7517
493	7324	7502
494	7337	7485
495	7350	7469
496	7363	7452
497	7377	7436
498	7390	7420
499	7405	7405
500	7416	7387
501	7429	7370
502	7442	7353
503	7457	7338
504	7470	7322
505	7483	7305
506	7495	7288
507	7510	7274
508	7521	7255
509	7536	7240
510	7548	7223
511	7563	7209
512	7579	7195
513	7593	7180
514	7609	7166
515	7624	7151
516	7638	7135
517	7653	7121
518	7668	7107
519	7686	7095
520	7709	7087
521	7725	7074
522	7743	7062
523	7761	7050
524	7777	7037
525	7794	7023
526	7809	7009
527	7826	6996
528	7841	6981
529	7865	6974
530	7879	6959
531	7897	6947
532	7911	6931
533	7927	6917
534	7943	6904
535	7959	6890
536	7973	6875
537	7997	6867
538	8013	6853
539	8027	6838
540	8043	6823
541	8058	6809
542	8074	6795
543	8088	6779
544	8102	6764
545	8127	6758
546	8144	6745
547	8162	6732
548	8179	6719
549	8196	6706
550	8211	6691
551	8228	6677
552	8242	6662
553	8262	6651
554	8278	6637
555	8292	6621
556	8306	6606
557	8321	6591
558	8335	6575
559	8349	6560
560	8365	6546
561	8377	6529
562	8394	6515
563	8416	6506
564	8431	6491
565	8448	6478
566	8461	6462
567	8476	6446
568	8489	6430
569	8507	6418
570	8522	6403
571	8543	6392
572	8559	6378
573	8574	6363
574	8590	6349
575	8605	6334
576	8623	6321
577	8638	6307
578	8660	6297
579	8674	6281
580	8689	6266
581	8701	6249
582	8713	6232
583	8731	6219
584	8744	6203
585	8758	6187
586	8771	6171
587	8794	6162
588	8810	6147
589	8823	6131
590	8840	6118
591	8856	6103
592	8868	6087
593	8883	6071
594	8900	6058
595	8921	6047
596	8939	6034
597	8956	6020
598	8972	6006
599	8989	5992
600	9003	5977
601	9018	5962
602	9035	5948
603	9055	5936
604	9070	5921
605	9086	5907
606	9101	5892
607	9118	5879
608	9136	5865
609	9150	5850
610	9166	5835
611	9188	5825
612	9202	5809
613	9219	5795
614	9235	5781
615	9251	5767
616	9266	5751
617	9283	5738
618	9302	5725
619	9324	5715
620	9341	5701
621	9358	5687
622	9370	5670
