iter	MultiClass
203	0.6060612807
204	0.605718097
205	0.6053241709
206	0.6050522247
207	0.6049591966
208	0.6049101745
209	0.6044401705
210	0.604283595
211	0.6042253074
212	0.6041509796
213	0.604094629
214	0.6040659585
215	0.6037924795
216	0.6037012607
217	0.603514575
218	0.603328463
219	0.6030152976
220	0.6025793342
221	0.6023264242
222	0.6021830427
223	0.6018360461
224	0.6017214595
225	0.6012393329
226	0.6006003339
227	0.6005486271
228	0.6004789206
229	0.600192286
230	0.599897757
231	0.5998316819
232	0.5997677923
233	0.5995085187
234	0.599348291
235	0.5992126466
236	0.598737825
237	0.5986306873
238	0.5982216536
239	0.5981492349
240	0.5980845591
241	0.5979995009
242	0.5979747049
243	0.5977751292
244	0.5977533309
245	0.5977067789
246	0.5975451113
247	0.5974451104
248	0.5972536303
249	0.5971903654
250	0.5971227813
251	0.5970075258
252	0.5969943346
253	0.5967929489
254	0.5967191908
255	0.5966054608
256	0.5964870266
257	0.5962892759
258	0.5960814788
259	0.5956128132
260	0.5954987347
261	0.5950695826
262	0.5950162958
263	0.5949184655
264	0.5948311966
265	0.5947258072
266	0.5947092547
267	0.5945819483
268	0.5944464229
269	0.5943904019
270	0.5942821522
271	0.5941725174
272	0.5941116716
273	0.5938539083
274	0.5935981442
275	0.5935342966
276	0.5934729235
277	0.5933691868
278	0.5931636486
279	0.5931235494
280	0.5930745854
281	0.5930610527
282	0.593022955
283	0.5929909871
284	0.5927022253
285	0.5925321172
286	0.5925174604
287	0.5924677326
288	0.5922627533
289	0.5921353374
290	0.5919788302
291	0.5917508293
292	0.5917150371
293	0.5917069002
294	0.5915127442
295	0.5913605414
296	0.5909207791
297	0.5908508887
298	0.5905120901
299	0.5903396107
300	0.5901236761
301	0.5900551433
302	0.5898321929
303	0.5896053578
304	0.5895182177
305	0.589251317
306	0.5891112718
307	0.5889475861
308	0.5887708886
309	0.5884463434
310	0.5883418918
311	0.5883036785
312	0.5881117516
313	0.5878011428
314	0.5875804679
315	0.5875160018
316	0.5874274719
317	0.5870360716
318	0.5869211885
319	0.5868636256
320	0.5867683224
321	0.58667481
322	0.5864129824
323	0.5860316806
324	0.5860194627
325	0.5859591984
326	0.5859466149
327	0.5859294775
328	0.5858948227
329	0.5857860585
330	0.5855126196
331	0.5854900447
332	0.585219747
333	0.5851337839
334	0.5847140188
335	0.5846505212
336	0.5845797577
337	0.584357249
338	0.5842321901
339	0.5841190474
340	0.5840116546
341	0.5839618332
342	0.5837316928
343	0.5835996421
344	0.5833564169
345	0.5830997613
346	0.582818933
347	0.5826325166
348	0.5825476412
349	0.5824159551
350	0.5822291976
351	0.5822100565
352	0.5819833315
353	0.5817028049
354	0.5814719697
355	0.5812463256
356	0.5811812255
357	0.5811711007
358	0.5810592637
359	0.5810494057
360	0.5808560928
361	0.5806440372
362	0.5806260613
363	0.5804676761
364	0.5802570337
365	0.5800847345
366	0.5800650062
367	0.5800549087
368	0.579912147
369	0.5798265957
370	0.5795316834
371	0.5795094719
372	0.5791351093
373	0.5791130758
374	0.5790895685
375	0.5790122517
376	0.578958278
377	0.5788529858
378	0.5787822959
379	0.5787537595
380	0.5786593561
381	0.578415538
382	0.5782403594
383	0.578045967
384	0.5779984486
385	0.5777350916
386	0.5776761948
387	0.5774366771
388	0.5774128562
389	0.5772138393
390	0.5771282495
391	0.5770852836
392	0.5768434764
393	0.5767644031
394	0.576295966
395	0.5761591864
396	0.5760107397
397	0.5758489563
398	0.5755777119
399	0.5754557774
400	0.5752238745
401	0.5751557689
402	0.5751426195
403	0.5751111147
404	0.5749304164
405	0.5749190196
406	0.5747931707
407	0.5746616227
408	0.5745593424
409	0.5743686823
410	0.5741888466
411	0.5741386651
412	0.5739992345
413	0.5738466548
414	0.5735693718
415	0.573099141
416	0.5730680582
417	0.5729452426
418	0.5727535983
419	0.5725653088
420	0.5721406866
421	0.5720708981
422	0.5720387831
423	0.5719184588
424	0.5716389126
425	0.5716120989
426	0.5715720612
427	0.571447073
428	0.5712311614
429	0.5711165968
430	0.5708579632
431	0.5707082886
432	0.5706917878
433	0.5706457372
434	0.5706062615
435	0.5705916385
436	0.5705463151
437	0.570492108
438	0.5699496336
439	0.5697226958
440	0.5696969756
441	0.5694134056
442	0.5693524227
443	0.5691213465
444	0.5689338157
445	0.5686655417
446	0.5686193118
447	0.5685983031
448	0.5685729211
449	0.5685167751
450	0.5684544431
451	0.568443924
452	0.56816849
453	0.5681479775
454	0.5681362116
455	0.568127745
456	0.5680564323
457	0.567642757
458	0.5675714669
459	0.5672496152
460	0.5671769576
461	0.5670562226
462	0.5669735697
463	0.5669115179
464	0.5667903411
465	0.5667401749
466	0.5665549653
467	0.5664221189
468	0.5663294408
469	0.5663158131
470	0.5662511524
471	0.566069184
472	0.5660214999
473	0.5660109306
474	0.5658256074
475	0.5656326063
476	0.5654579784
477	0.5653498399
478	0.5649362619
479	0.5647588511
480	0.5646206278
481	0.5644954284
482	0.5643566324
483	0.5643465916
484	0.5643245333
485	0.5642605736
486	0.564213374
487	0.5640940376
488	0.5640815579
489	0.5640612097
490	0.5638379676
491	0.5634818655
492	0.5634674456
493	0.563311396
494	0.5632127617
495	0.5631119189
496	0.5630577393
497	0.5629639138
498	0.5628282537
499	0.562703878
500	0.5626953364
501	0.5626687218
502	0.5626192166
503	0.5623819599
504	0.5621961368
505	0.5621100712
506	0.5620817154
507	0.5617003559
508	0.5616932209
509	0.5612677165
510	0.5612419883
511	0.5611532704
512	0.5609626306
513	0.5607470865
514	0.5606808055
515	0.5604497729
516	0.5603523265
517	0.5602451961
518	0.5599732252
519	0.5598742086
520	0.5597869671
521	0.5596620724
522	0.5596089458
523	0.5593331101
524	0.5591551982
525	0.5590044284
526	0.558958701
527	0.5589069
528	0.5588833671
529	0.558776808
530	0.5587497916
531	0.5586303204
532	0.5586150701
533	0.5585121419
534	0.558370803
535	0.5582827033
536	0.5582197133
537	0.5580283588
538	0.5577571101
539	0.5577216003
540	0.5575940955
541	0.5573690686
542	0.557225476
543	0.5572157287
544	0.5569123293
545	0.5568073122
546	0.5565180373
547	0.5563539142
548	0.5561350612
549	0.5559656589
550	0.5558663185
551	0.5557670436
552	0.5556496662
553	0.5555843823
554	0.5553950912
555	0.5553621485
556	0.5552627601
557	0.5550833932
558	0.5549449911
559	0.5547034018
560	0.5545991139
561	0.5545861136
562	0.5545229451
563	0.5544897065
564	0.5542434842
565	0.5541679323
566	0.5541267328
567	0.5539953448
568	0.5538817805
569	0.5537276162
570	0.5536607494
571	0.5536254556
572	0.5533545745
573	0.5533073849
574	0.552922807
575	0.5527293846
576	0.5525846736
577	0.5524658914
578	0.5523188534
579	0.5522463935
580	0.5521815135
581	0.5521314078
582	0.5521239133
583	0.5519116503
584	0.5518980025
585	0.5518867974
586	0.5518767929
587	0.5516994265
588	0.5516194016
589	0.5515544162
590	0.551375069
591	0.5513333096
592	0.5513255779
593	0.5511647535
594	0.550807238
595	0.5506014164
596	0.5502212476
597	0.5499162829
598	0.5496779709
599	0.5496705261
600	0.5496406743
601	0.5494994461
602	0.5493303021
603	0.5492749406
604	0.5492269615
605	0.5490850969
606	0.5488848364
607	0.5487565961
608	0.5486274397
609	0.5486039458
610	0.5484386214
611	0.5483593056
612	0.5483482469
613	0.5481195291
614	0.5479838945
615	0.5478509431
616	0.5476289314
617	0.5474448043
618	0.5472610599
619	0.5470971353
620	0.5469091431
621	0.5467884091
622	0.5467744725
623	0.5467360653
624	0.5466355801
625	0.546582745
626	0.5464512939
627	0.5464276998
628	0.546400918
629	0.5463532944
630	0.5463381161
631	0.5463213939
632	0.5462295888
633	0.5460762815
634	0.5460308493
635	0.5460119979
636	0.5460042155
637	0.5459921779
638	0.5458105578
639	0.5457910647
640	0.5456534031
641	0.5455186616
642	0.5454326782
643	0.5453917678
644	0.5452561733
645	0.545096609
646	0.5450460176
647	0.5449292417
648	0.5448118825
649	0.5446301359
650	0.5445817395
651	0.5443665691
652	0.5442589167
653	0.5438287624
654	0.5438111742
655	0.5437760559
656	0.5436644133
657	0.5436023721
658	0.5434529995
659	0.5432981014
660	0.543285256
661	0.5432362361
662	0.5430757754
663	0.5428402116
664	0.5427807175
665	0.5426833984
666	0.5426357889
667	0.5425885266
668	0.542539039
669	0.5425096608
670	0.5424423488
671	0.542430953
672	0.5422894196
673	0.5422595743
674	0.54216384
675	0.542071775
676	0.5419652641
677	0.5418934133
678	0.5416273815
679	0.5415757345
680	0.5415654415
681	0.5413447516
682	0.541148097
683	0.5411310357
684	0.5410274811
685	0.5410227404
686	0.5410125289
687	0.5409629158
688	0.5407954171
689	0.5406653217
690	0.5405962279
691	0.5405251881
692	0.5404258672
693	0.5403389469
694	0.5402774049
695	0.5402562121
696	0.5401832626
697	0.5401667782
698	0.5401493559
699	0.539709347
700	0.5396855986
701	0.5396461029
702	0.5394824323
703	0.5393484878
704	0.5393316638
705	0.5390708167
706	0.5390550188
707	0.5389729912
708	0.53891207
709	0.5388986476
710	0.5385962381
711	0.5385258031
712	0.5385206364
713	0.5383943826
714	0.5381011695
715	0.5378484577
716	0.5377606664
717	0.537752089
718	0.5376233446
719	0.5374035169
720	0.5373845937
721	0.5372461206
722	0.5371522154
723	0.5370143351
724	0.5369889122
725	0.5367538697
726	0.536663369
727	0.5365971289
728	0.5364590373
729	0.536376398
730	0.5362810174
731	0.5362479649
732	0.5360144923
733	0.5359879556
734	0.535946791
735	0.5359413979
736	0.5359214814
737	0.5358649084
738	0.5357033259
739	0.5356936225
740	0.5354435355
741	0.5353667626
742	0.535316508
743	0.5352749696
744	0.5351261415
745	0.5350562547
746	0.534995469
747	0.5347606704
748	0.5346365121
749	0.5343658658
750	0.5343577805
751	0.5343291661
752	0.5341529216
753	0.5341279902
754	0.534034989
755	0.5340026681
756	0.5338434475
757	0.5338092096
758	0.5337052286
759	0.5335217599
760	0.5333476159
761	0.533097439
762	0.5330823371
763	0.5329157228
764	0.5326379961
765	0.5326292353
766	0.5325923218
767	0.5324596864
768	0.5323477933
769	0.5322899043
770	0.5321170741
771	0.5321098909
772	0.5320502333
773	0.5319754994
774	0.5316407309
775	0.5314781839
776	0.5313796511
777	0.5312864261
778	0.531145746
779	0.5311074339
780	0.5310260934
781	0.5309119615
782	0.5307110688
783	0.5307017217
784	0.5306300099
785	0.530617435
786	0.5305876001
787	0.5305019189
788	0.5303418627
789	0.530324036
790	0.5301885807
791	0.5300720974
792	0.5298269585
793	0.5296798917
794	0.5294853549
795	0.5294305889
796	0.5292945552
797	0.529198334
798	0.5290148736
799	0.5289611767
800	0.5289376642
801	0.5287404398
802	0.5286703722
803	0.5285623621
804	0.5284045061
805	0.5282692243
806	0.5281735289
807	0.5281573258
808	0.5279481031
809	0.5277417936
810	0.5275331067
811	0.5274733199
812	0.5272302629
813	0.5269345355
814	0.5269104313
815	0.5268466545
816	0.5264916074
817	0.5264778568
818	0.5264614911
819	0.5261597404
820	0.5258043467
821	0.525614261
822	0.5255434898
823	0.5254264413
824	0.5252922255
825	0.5251398839
826	0.5251158374
827	0.5250328916
828	0.5247382749
829	0.5246779101
830	0.5246020002
831	0.5245870556
832	0.5245724337
833	0.5245409392
834	0.5241111026
835	0.5239468252
836	0.5236150123
837	0.5235445506
838	0.5234498758
839	0.5234315997
840	0.5233716018
841	0.5233235221
842	0.5232000651
843	0.5229523682
844	0.5228766858
845	0.5227609399
846	0.5225762872
847	0.5225401459
848	0.5224658046
849	0.5223578553
850	0.5221721827
851	0.5220786619
852	0.521906184
853	0.5218480221
854	0.521772908
855	0.5215637973
856	0.521525544
857	0.5214097954
858	0.5213156027
859	0.5213099609
860	0.5212839968
861	0.5210310876
862	0.5210022307
863	0.5209903279
864	0.5209491633
865	0.5209207723
866	0.5207549804
867	0.5207225969
868	0.5204879439
869	0.5203196187
870	0.5201240138
871	0.5201174301
872	0.5199696392
873	0.519902645
874	0.519886402
875	0.5196459716
876	0.5194018019
877	0.5191634012
878	0.5191335172
879	0.5190468709
880	0.5190215827
881	0.5188798328
882	0.5188251276
883	0.5186130884
884	0.5185981799
885	0.518496273
886	0.5183940183
887	0.5182369874
888	0.5182028449
889	0.5181267226
890	0.5178859295
891	0.5178346068
892	0.5177738932
893	0.517663451
894	0.5175626349
895	0.5174790228
896	0.5173619915
897	0.51734358
898	0.5172445024
899	0.5172312042
900	0.5171995605
901	0.5171088661
902	0.5170096308
903	0.5169026471
904	0.5168005869
905	0.5167179741
906	0.5166876157
907	0.5166164416
908	0.5165270647
909	0.5163020227
910	0.5162461227
911	0.5162417151
912	0.5162208893
913	0.5161525677
914	0.5159200157
915	0.515628914
916	0.5154026783
917	0.5153251021
918	0.51513888
919	0.5150584477
920	0.5150052531
921	0.5149009328
922	0.5148172032
923	0.51470076
924	0.5145616138
925	0.5144206376
926	0.5143128415
927	0.5142999184
928	0.5142843512
929	0.5142044315
930	0.5141544389
931	0.51410362
932	0.5140734411
933	0.5139763617
934	0.5139295683
935	0.5137964845
936	0.5135543714
937	0.5134210174
938	0.5133378997
939	0.5132052178
940	0.5132016499
941	0.5130989236
942	0.5130883273
943	0.5130794405
944	0.5129596455
945	0.5127526572
946	0.5125703652
947	0.5125176834
948	0.5125123469
949	0.5124975037
950	0.5124254999
951	0.5124175066
952	0.5122346264
953	0.512160568
954	0.512060036
955	0.5119370227
956	0.5118726352
957	0.511855425
958	0.5116903729
959	0.5115953959
960	0.511212263
961	0.5108995518
962	0.5107957392
963	0.5106218809
964	0.5103980577
965	0.5103714346
966	0.5103375193
967	0.5103130265
968	0.5101995956
969	0.5101872711
970	0.5099693055
971	0.5099617082
972	0.5097759482
973	0.5097660912
974	0.5096164457
975	0.5095475599
976	0.5094830953
977	0.5093548602
978	0.509144874
979	0.5090854666
980	0.5090536319
981	0.5088500563
982	0.5087425162
983	0.508474728
984	0.5082671668
985	0.5081831779
986	0.5080290386
987	0.5079889988
988	0.5079721588
989	0.5078179238
990	0.5077508903
991	0.5076789444
992	0.507643348
993	0.507609343
994	0.507597807
995	0.5074629957
996	0.5074126995
997	0.5072779225
998	0.5070354016
999	0.5069824146
